වචනය,"සමාන පදමාලාව"
"අජූත, අජූද ","[නා.ප්‍ර.] කඩදාසි කුට්ටමෙන් කරන තරග ක්‍රීඩාවක්; දූ කෙළියක්."
අජූව,"[වි.]  විරූපී; හැඩයක් නැති."
"අජෙය්‍ය ","[වි.]  පැරදවිය නොහැකි."
"අජෝඩුව ","1. (කථා.) [නා.] නොගැළපෙන, නොපෑහෙන ස්වභාවය. <br>2. [නා.] අඩුපාඩුව. <br>3. [නා.] බාධාව. <br>4. [නා.] අත් වැරැද්ද. <br>5. [නා.] අමාරුව; හිරිහැරය. <br>6. [නා.] බලාපොරොත්තු කඩ වීම."
"අජ්ඣත්ත, අජ්ඣත්තික ","[වි.]  තමා පිළිබඳ වූ; ඇතුළතින් හටගන්නා වූ; ආධ්‍යාත්මික."
"අජ්ඣත්තික නිදානය ","[නා.] යම්කිසි ක්‍රියාවක් කිරීමට තමා තුළ ම හටගන්නා කරුණාදි හේතුව; අභ්‍යන්තර නිදානය."
"අජ්ඣත්තික රූප ","[නා.බහු.] (අභි.) තමා පිළිබඳ රූප; ස්වසන්තානගත රූප."
"අජ්ඣත්තික වාදය  ","(පාරිභා.) [නා.] සකල ඥානය හුදෙක් ආත්මීය සහ ආනුෂංගික බව දක්වන දාර්ශනික මතය (= subjectivism)."
"අජ්ඣත්තිකායතන ","[නා.බහු.] (අභි.) තමා පිළිබඳ ආයතන හෙවත් තමා තුළ පිහිටි ඉන්ද්‍රිය."
"අජ්ඣසනය ","[නා.] අනුභව කරන ලද ආහාර දිරවීමට පෙර නැවත ආහාර ගැනීම; අධ්‍යශනය."
"අජ්ඣාචාරය ","1. [නා.] (විනය.) ඉක්මවා හැසිරීම; වැරදි හැසිරීම. <br>2. [නා.] ඇවත; ආපත්තිය."
"අජ්ඣායක ","1. [නා.ප්‍ර.] උගන්වන්නා; ගුරුවරයා. <br>2. [නා.ප්‍ර.] ශිෂ්‍යයා."
"අජ්ඣාසය ","[නා.] අදහස; අභිප්‍රාය; අධ්‍යාශය."
"අජ්ඣේසනය ","[නා.] ඉල්ලා සිටීම ආරාධනය; ආයාචනය."
"අජ්ඣෝකාසය ","[නා.] එළිමහන් තැන; නිරාවරණය වූ ප්‍රදේශය."
"අජ්ඣෝත්ථරණය ","[නා.] වසා ගෙන පැතිරීම; යට කිරීම."
"අජ්ඣෝසිත ","[වි.]  තෘෂ්ණාවෙන් ඇලුණු; තෘෂ්ණාවෙහි ගිලී සිටි."
"අජ්ඣෝහරණ ","[වි.]  අනුභව කරන; ගිලින. <br> [නා.ප්‍ර.] ආහාර ගැනීම; අනුභව කිරීම."
"අඥයා ","[නා.] නොදන්නා තැනැත්තා; අනුවණයා; මෝඩයා."
"අඥාතය ","(පාරිභා.) [නා.] නොදන්නා දෙය; අප්‍රකට සාධකය (=unknown)."
"අඥාතයා ","[නා.] නොදන්නා තැනැත්තා; අවබෝධ නොකළ පුද්ගලයා."
"අඥාත රාශිය ","(පාරිභා.) [නා.] (වීජ ගණිතයේ දී) අගය නිර්ණය නොකරන ලද රාශි (= unknown quantity)."
"අඥාන වාදය ","[නා.] බුද්ධ කාලීන භාරතයේ පැවති මිථ්‍යා දෘෂ්ටි සතරින් එකක්."
"අඥාන විජෘම්භණය ","[නා.] අනුවණකම පළ කිරීම; මෝඩකම ප්‍රකට කිරීම."
"අඥානාත්මක ","[වි.]  අනුවණ බව ආත්මය කොට ඇති; මෝඩකම ප්‍රධාන ලක්ෂණය කොට ගත්."
අඥානෝපේක්ෂාව,"[අඥාන+උපේක්ෂාව] <br> [නා.] නොදන්නාකම නිසා ඇති වන මැදහත් බව; ඇති තතු නොදැන දක්වන උපේක්ෂාව."
"අඥේය වාදය ","[නා.] (දර්ශන.) දාර්ශනික ප්‍රශ්නවල දී ‘මා දන්නේ නැතැ යි’ පැවසීමේ න්‍යාය (=agnosticism)."
අජ්වලිත,"[වි.]  නොදැල්වුණු; බැබළීමක් නැති."
"අඤ්ජනම ",[නා.]අංජනම.
"අඤ්ජනම්දේවි ","[නා.ප්‍ර.] අංජනම් දේවි."
"අඤ්ජලි කරණය ","[නා.] අංජලි කරණය."
"අඤ්ජලි පුටය ","[නා.] අංජලි පුටය."
"අඤ්ඤ ","[වි.]  වෙනත්; අනෙක්; පිටස්තර. <br>1. [නා.ප්‍ර.] වෙනත් දෙය; අන්‍යය; අනෙක. <br>2. [නා.ප්‍ර.] අර්හත් බව. <br>3. [නා.ප්‍ර.] අණ; ආඥාව."
"අඤ්ඤතර ","[වි.]  කිසියම්; එක්තරා; නම් ආදි වශයෙන් අප්‍රකට."
"අඤ්ඤදත්ථුහරයා ","[නා.] කිසියම් ලාභයක් බලාපොරොත්තුවෙන් මිතුරුකම් පවත්වන්නා."
"අඤ්ඤභාගී, අඤ්ඤභාගීය ","[වි.]  අනෙක් පක්ෂයක් ආශ්‍රිත වූ; අනෙකක් භජනය කරන්නා වූ."
"අඤ්ඤමඤ්ඤපච්චය ","[නා.ප්‍ර.] (අභි.) අන්‍යෝන්‍යයන්ගේ උත්පත්තියටත් පැවැත්මටත් උපකාර ධර්මතාව; අන්‍යෝන්‍ය ප්‍රත්‍යය."
"අඤ්ඤමඤ්ඤය ","1. [නා.] ඔවුනොවුන් පිළිබඳ දෙය; අන්‍යෝන්‍ය වූව; එකිනෙකට සම්බන්ධ වූව. <br>2. (කථා.) [නා.] එකිනෙකා පිළිබඳ තොරතුරු; ඕපාදූප."
"අඤ්ඤ වාදකයා ","[නා.] (විනය.) (සංඝයා මැද) යමක් ඇසූ කල ඊට පිළිතුරු නො දී වෙනත් දෙයක් කථා කරන්නා."
"අට ","1. [නා.ප්‍ර.] සතට එකකින් වැඩි නවයට එකකින් අඩු වූ සංඛ්‍යාව. <br>2. (ජ්‍යෝති.) [නා.ප්‍ර.] කෙනකු උපන් ලග්නයේ සිට අටවැනි රාශියය; මාරක ස්ථානය; ආයු ස්ථානය. <br>3. [නා.ප්‍ර.] කැලෑව; වනය; අටවිය; අරණ්‍යය. <br>4. [නා.ප්‍ර.] ගමන; පියාසර කිරීම; ප්‍රයාණය. <br>5. [නා.ප්‍ර.] කෝලාහලය; කලහය; සංග්‍රාමය. <br>6. (කථා.) [නා.ප්‍ර.] දවසෙහි (පෙරවරු හෝ පස්වරු) අටවැනි පැය; ඔරලෝසුවේ අටේ කණිසම. <br>7. [නා.ප්‍ර.] තේරුම; අර්ථය."
"අටඅකණ, අටකණ ","[නා.ප්‍ර.] පින් කිරීමට ඉඩ නොලැබෙන නපුරු කාල අට; අෂ්ට දුෂ්ටක්ෂණය."
"අට අඟ ","1. [නා.ප්‍ර.] කොටස් හෝ අවයව අට; අට වැදෑරුම් අංග. <br>2. [නා.ප්‍ර.] අට ආකාර වූ රාජ්‍ය අංග; අෂ්ට රාජ්‍යාංග. <br>3. [නා.ප්‍ර.] ආර්ය මාර්ගයෙහි ඇතුළත් අට ආකාර අඟ."
"අට අරිපුඟුලෝ ","[නා.බහු.] බුදු සමයෙහි සතර මගට හා සතර ඵලයට පැමිණි පුද්ගලයන් අට දෙනා; අෂ්ට ආර්ය පුද්ගලයෝ."
"අට අරිසඟ, අට අරීසග ","[නා.ප්‍ර.] සතර මඟ සතර ඵලයට පැමිණි මහ සඟ ගණය."
"අට ඇස ","[නා.] ඇස් අටක් ඇත්තා; මහා බ්‍රහ්මයා."
"අට ඉස්බ ","[නා.] පැරණි මිණුම් ක්‍රමය අනුව ගවුවකින් දහයෙන් කොටසක් හෙවත් බඹ 280 ක දුර ප්‍රමාණය."
"අටං පහුර, අටන් පහුර, අටම් පහුර ","1. (කථා.) [නා.] හදිසියෙන් කඩාවැටිය හැකි තරම් දුබල මැස්ස. <br>2. [නා.] තේරුම් ගත නොහැකි අවුල; ආකූලව්‍යාකූල වූ දෙය."
"අට කර ","[නා.] අත් අටක් ඇත්තා; මහා බ්‍රහ්මයා."
"අට කලන්ය ","[නා.] විශාල බිම් ප්‍රදේශයක්; කලන්ද අටක ප්‍රමාණය."
"අට කසිණය, අට කිසුණ ","[නා.] දස කසිණයෙන් පඨවි, ආපෝ, තේජෝ, වායෝ, නීල, පීත, ලෝහිත, ඕදාත යන කසිණ අට."
"අට කුරුව, අට කූරුව ","[නා.] කාර්ය කොට්ඨාස අට; සිංහල රාජ සමයෙහි ඇතුන්ගේ කටයුතු පිළිබඳ ගජනායක නිලමේට භාර වූ කාර්ය අට."
"අට කුසලය ","[නා.] (අභි.) කාමාවචර කුසල් සිත් අට."
"අට කොන ","[නා.] අට දිශාව; සතර දිශා හා සතර අනුදිශා."
"අටක් ","[අට+අක්] <br> [නා.ප්‍ර.] ඇස් අටක් ඇති තැනැත්තා; මහා බ්‍රහ්මයා."
"අට ගණය ","1. [නා.] ගණ අට; සාම්ප්‍රදායික සිංහල කාව්‍ය ශිල්පයෙහි සඳහන් වන ම, න, බ, ය, ජ, ර, ස, ත යන ගණ අට. <br>2. [නා.] පුරාණයෙහි ලක්දිව පැවති ප්‍රධාන බෞද්ධ ආයතන අට."
"අට ගන්නවා"," 1. [ක්‍රි.] උපදිනවා; ජනිත වෙනවා. <br>2. [ක්‍රි.] ඇති වෙනවා; පැන නගිනවා. <br>3. [ක්‍රි.] (රෝගයක්) සෑදෙනවා; වැලඳෙනවා. <br>4. [ක්‍රි.] පැළ වෙනවා."
"අට ගුණය ","1. [නා.] අට වරකින් වැඩි වූ ප්‍රමාණය; අටෙන් ගුණිත වූ ප්‍රමාණය. <br>2. [නා.] ගුණධර්ම අට. <br>3. [නා.] බුදුරජාණන් වහන්සේගේ විශේෂ වූ ගුණ අට."
"අටඟ ","[නා.] අංග හෙවත් අවයව අට; කොටස් අට."
"අටඟ බඹගොස ","[නා.] බුදුරජුන් දම් දෙසන කල නික්මෙන අෂ්ටාංග බ්‍රහ්ම ස්වරය."
"අටඟ මඟ ","[නා.] ආර්ය අෂ්ටාංගික මාර්ගය."
"අටඟ මිණ ","[නා.] වක් අටකින් යුත් මිණි රුවන; සක් දෙවිඳුන් විසින් කුස රජු ගෙලෙහි පලඳවන ලදැයි කියන මාණික්‍යය; අෂ්ටවංක මාණික්‍යය."
"අටඟි ","[වි.]  අංග අටකින් යුත්; කොටස් අටකින් සමන්විත."
"අටඟුල ","[අට+අඟුල] <br> [නා.] අඟල් අට."
"අටටය ","1. [නා.] පුරාණ ව්‍යවහාරයෙහි පැවති විශාල සංඛ්‍යාවක්. <br>2. [නා.] නිරයක නාමය; අටට නරකය."
"අට තන, අට තැන ","[නා.] විචිකිච්ඡා වශයෙන් සැක නොඉපදවිය යුතු බුද්ධාදි ස්ථාන අට."
"අටතිස් චෛතසික ","[නා.බහු.] (අභි.) ආශ්‍රව නොවන චෛතසික තිස් අට."
"අටතිස් මඟුල් ","[නා.ප්‍ර.] මංගල සූත්‍රයෙහි දක්වන ලද මංගල කාරණා තිස් අට."
"අට තුනු ","[නා.] මූර්ති අටක් ඇති ව ලොව පහළ වන ඊශ්වර හෙවත් ශිව දෙවි."
"අට තුරා ","[අට+උතුරා] [වි.]  අටකින් වැඩි; අටක් අධික ව සිටි; අටෝරා."
"අටතුරා දහස ","[නා.] අටකින් වැඩි දහස; එක් දහස් අට."
"අටතුරාසිය ","[නා.ප්‍ර.] අටකින් වැඩි සියය; එක්සිය අට."
"අටදස විදු ","[නා.බහු.] දස අට වැදෑරුම් විද්‍යා; අටළොස් ශිල්ප."
"අට දහස් රට ","[නා.] එකළොස් වන දොළොස් වන සියවස් තුළ දී රුහුණු ප්‍රදේශය බෙදා තිබුණු ප්‍රධාන කොටස් දෙකින් එකක්."
"අටදා ","[නා.ප්‍ර.] ජාතක අට; තේමිය, මහාජනක, සාම, නිමි, භූරිදත්ත, නාරද කස්සප, විදුර, ඛණ්ඩහාල යන ජාතක කථා අට හෝ වෙසතුරු, කට්ඨහාරි, මඛාදේව, කුස, නිමි, ඛණ්ඩහාල, විධුර, සිවි යන ජාතක කථා අට."
"අටදෑ මුතු ","[නා.] මුතු වර්ග අට."
"අටදික් ","[නා.ප්‍ර.] අට දිග; අටදිශා."
"අටදික් බාගය ","[නා.] අට කොන; අට දිශාව; සතර දිශා හා සතර අනු දිශා."
"අටදිට ","[නා.ප්‍ර.] නෙත් අටක් ඇත්තා; මහා බ්‍රහ්මයා."
"අටන ","1. (කථා.) [නා.] සටන; යුද්ධය. <br>2. [නා.] යුද්ධවල දී සතුරන් යට කර මැරීම සඳහා අටවා ඇති උගුල; හබකය. <br>3. [නා.] තැනින් තැන ඇවිදීම. සැරිසරා යෑම; සංචාරය."
"අට නාකුල ","[නා.බහු.] හස්ති කුල අට."
"අට නැණ ","[නා.] (අභි.) අට වැදෑරුම් වූ විදසුන් නුවණ; විදර්ශනා ඥාන අට."
"අට නෙත ","[නා.] (අභි.) නෙත් අටක් ඇත්තා; මහා බ්‍රහ්මයා."
"අටපට්ටම් ","[නා.ප්‍ර.] කෝණ අටක් හා පාද අටක් ඇති බහු අස්‍රය."
"අටපද ","1. [නා.ප්‍ර.] දාම් ලෑල්ල. <br>2. [නා.ප්‍ර.] පාද අටකින් යුක්ත පද්‍යය; පේළි අටක් ඇති පද්‍ය බන්ධනය."
"අට පහ ","1. [නා.] අට වැදෑරුම් ශික්ෂාපද සහ පස් වැදෑරුම් ශික්ෂාපද; අටසිල් හා පන්සිල්. <br>2. (කථා.) (රූඪි.) [නා.] වරද නිවරද; හොඳ නරක; ඇත්ත යුක්ත."
"අට පැන් ","[නා.ප්‍ර.] භික්ෂූන්ට විකාලයෙහි දී වැළඳිය හැකි පාන වර්ග අට; අටවිධ පාන; අෂ්ට පානය."
"අට පිරිකර ","[නා.] භික්ෂූන්ට අවශ්‍ය, එනිසා භික්ෂූන් විසින් පරිභෝග කිරීමට සුදුසු අඳනය, තනිපට සිවුර, දෙ පට සිවුර, පාත්‍රය, පටිය, කරකැත්ත, ඉදිකටුව සහ පෙරහන්කඩය යන පිරිකර අට; අෂ්ට පරිෂ්කාරය."
"අට මගල, අට මඟල ","1. [නා.] මංගල සම්මත වස්තු අට; සිංහයා, වෘෂභයා, හස්තියා, පූර්ණ ඝටය, වල්විදුනාව, ධ්වජය, ශංඛය, ප්‍රදීපය යන අට; ඒ මංගල ලකුණු යෙදූ කොන් අටකින් යුත් රේඛා සටහන. <br>2. [නා.] බලිතොවිල් වල දී ආතුරයා ළඟ තැබීමට ගන්නා තොලබෝ, හීරැස්ස, සහල්පත, පොල්ගෙඩිය, දිවිහිස හෝ දිවිකදුරු ලීය, කැත්ත, මල්ල, මෝල්ගහ යන ද්‍රව්‍ය අට. <br>3. (රූඪි.) [නා.] පිළිවෙළකට නැතිව සෑදූ මඩුවක් හෝ එවැනි යම් ඉදිකිරීමක්."
"අට මඟ ","[නා.] කොටස් අටකින් යුක්ත මාර්ගය; ආර්ය අෂ්ටාංගික මාර්ගය."
"අටමස්ථානය ","1. [නා.] අනුරාධපුරයෙහි පිහිටි දකුණු මහාසෑය, ශ්‍රී මහා බෝධිය, ලෝවාමහාපාය, පිරිත්ලාගෙය, ජන්තාඝර පොකුණ, ථූපාරාමය, රුවන්වැලිසෑය, මිහින්තලේ සේල චේතිය යන ප්‍රධාන සිද්ධස්ථාන අට. <br>2. [නා.] වර්තමාන අටමස්ථානය ලෙස සලකන ශ්‍රී මහා බෝධිය, රුවන්වැලි සෑය, අභයගිරිය, ජේතවනය, ථූපාරාමය, ලංකාරාමය, මිරිසවැටිය, ලෝවාමහාපාය."
"අට මහ කුසලය ","[නා.] කඨින දානය, අටපිරිකර දානය, ආවාස දානය, බුදු පාමොක් සඟනට දන්දීම, බණ පොත් ලියවීම, කෙත් වතු, බුදු පිළිම කරවීම, වැසිකිළි කරවීම යන පුණ්‍ය ක්‍රියා අට."
"අටමහ නරකය ","[නා.] මහා නිරය අට; සඤ්ජීවය, කාලසූත්‍රය, සංඝාතය, රෞරවය, මහාරෞරවය, තාපය, ප්‍රතාපය, අවීචිය යන නිරය අට."
"අටමහ පිරිස ","[නා.] බුදුරජාණන් වහන්සේලාගෙන් බණ ඇසීමට රැස් වන රජ, බමුණු, ගොවි, මහණ යන පිරිස් ද සිවුමහරජ සහ තව්තිසා දෙවියෝ ද මාරයෝ ද බ්‍රහ්මයෝ ද යන අට වැදෑරුම් පිරිස; අටවණක් පිරිස."
"අටමහ ලෝ වැඩ ","[නා.] ධර්ම ව්‍යාඛ්‍යානයකින් හෝ බුදුගුණ කථාවකින් හෝ ලෝකයාට සිදු වන අෂ්ටවිධ අභිවෘද්ධිය; රාජ, රජමෙහෙසි, මැති ඇමති, මහතෙර, සබ්‍රහ්මචාරි, ධර්මකථික, කල්‍යාණ සත්පුරුෂ හා ප්‍රත්‍යන්ත වාසී ස්ත්‍රී පුරුෂ යන ජනයාට ඇති වන අර්ථ සිද්ධිය."
"අට යොන්, අට යෝනි ","[නා.ප්‍ර.] පද්‍යාරම්භයෙහි ද නාමයක උභය පාර්ශ්වයෙහි ද යොදන ඒ ඒ වර්ණ පිළිබඳ ශත්‍රැමිත්‍ර යෝනි අට; නකුල, මියු, මහවත්, වග, සපු, තුරඟ, බිලිපුටු, සරඟ යන අෂ්ට යෝනිය."
"අටර ","[නා.] අටළොස; දහඅට."
"අටරාසිය ","[නා.] අටක් වැඩි සියය; එකසිය අට; අටෝරාසිය."
"අටලවණ ","[නා.] බෙහෙතට ගන්නා ලුණු අට වර්ගය."
"අටලු ගෙය ","[නා.] උස් තට්ටුවක් ඇති ගොඩනැගිල්ල; උස් ව තැනූ මැසි ගෙය; ප්‍රාකාර මතුයෙහි තැනූ උඩුමහල් ගෙය."
"අට ලෝ දහම ","[නා.] මනුෂ්‍යයා කරා පැමිණෙන ලාභ අලාභ, යස අයස, නින්දා ප්‍රශංසා, සුඛ සහ දුක්ඛ යන අට වැදෑරුම් ලෝක ධර්මය; අෂ්ට ලෝක ධර්මය."
"අටල්ල ","[නා.] උස් කොට තැනූ මුරගෙය; හාත්පස පෙනෙන සේ උස් තැනක ඉදි කළ තාවකාලික ගොඩනැඟිල්ල; අට්ටාලය."
"අටවක ","1. [නා.] චන්ද්‍රමාස ක්‍රමය අනුව පුර පක්ෂයෙහි හා අව පක්ෂයෙහි අටවැනි දිනය; චන්ද්‍රයාගේ අටවැනි කලාව. <br>2. [නා.] වක් අට; වක් අටක් ඇති මැණික; අෂ්ට වංකය."
"අටවක මිණ, අටවක් මැණික ","[නා.] වක් අටක් ඇති මැණික; සක් දෙවිඳුන් විසින් කුසරජු ගෙලෙහි පලඳවන ලද අෂ්ටවංක මාණික්‍යය. මිණිරුවන;"
"අටවනවා ","1. [ක්‍රි.] රඳවනවා; (උගුලක්) මානනවා. <br>2. [ක්‍රි.] තනනවා; සාදනවා; ඉදි කරනවා. <br>3. [ක්‍රි.] (කුඩ ආදිය) දිග අරිනවා; විහිදනවා."
"අට වරල ","1. (කථා.) [නා.] ඇලෙන සුලු තද මැට්ට. <br>2. [නා.] ඇලෙන මැටි සහිත කුඹුර; ලිස්සන මඩ ඇති කුඹුර."
"අට විදු ","[නා.] අෂ්ට විද්‍යාව; අෂ්ට විධ ඥානය."
"අට විධ පාන"," [නා.] විකාලයේ දීත් පැවිද්දන්ට කැප අඹ, දඹ, සියදෑ මිදි, මස් කෙසෙල්, ඇට කෙසෙල්, මිදි, ඕලු, බොරලුදමුන් යන පාන වර්ග අට."
"අටවිය ","[නා.] මහා කැලෑව; ආරණ්‍යය; වන ප්‍රදේශය; අඩවිය."
"අට වියැට ","[නා.] වී ඇට අටක බර ප්‍රමාණය; මදටියක බර."
"අටවිසි නැකැත් ","[නා.ප්‍ර.] චන්ද්‍රයා ගමන් කරන වලයාකාර පථයෙහි පිළිවෙළින් පිහිටි පංති විසි අට."
"අටවිසි පිරිත ","[නා.] අටවිසි බුදුවරයන් වහන්සේලාගේ නම් සඳහන් පිරිත් ගාථා සමූහය."
"අටවිසි බුදුහු ","[නා.බහු.] තණ්හංකර බුදුරජාණන් වහන්සේ පටන් ගෞතම බුදුරජාණන් වහන්සේ තෙක් ලොව පහළ වූ බුදුවරයන් විසි අට නම."
"අටවිසි බෝධි ","[නා.බහු.] අටවිසි බුදුවරයන් වහන්සේලා පිට දුන් වෘක්ෂ විසි අට හඳුන්වන නාමය."
"අට සක ","[නා.] ඇස් අටක් ඇත්තා; මහා බ්‍රහ්මයා."
"අටසිල් ","[නා.ප්‍ර.] ශික්ෂාපද අටකින් යුත් ගිහි ශීලය."
"අටස්, අටැස් ","1. [නා.ප්‍ර.] ඇස් අටක් ඇත්තා; මහා බ්‍රහ්මයා. <br>2. [නා.ප්‍ර.] අට පැත්තකින් යුක්ත වූව. <br>3. [නා.ප්‍ර.] උතුමකු ඉදිරියේ සිට කතා කිරීමේ දී නොසිටිය යුතු පැති අට. [වි.]  පැති අටක් ඇති; අට පට්ටම්."
"අටළොස ","[නා.] දහ අට; අෂ්ටා දශය."
"අටළොස් ආවේණික ධර්ම ","[නා.ප්‍ර.] බුදුරජාණන් වහන්සේලාට ම හිමි ගුණ දහ අට; සර්වඥ ස්වභාව අටළොස."
"අටළොස් කුලය ","1. [නා.] දෙවන පෑතිස් රජු කල දක්ෂිණ බෝධි ශාඛාව දඹදිව සිට වැඩමවාගෙන ඒ දී එහි ආවතේව කටයුතු පිණිස ධර්මාශෝක රජු විසින් එවනු ලැබූ ජන සමූහය. <br>2. [නා.] අතීතයේ දී විවිධ කර්මාන්ත පවත්වා ගෙන යෑම පිණිස බැඳී සිටි ජන කණ්ඩායම් හැඳින්වූ නාමය."
"අටානූව ","[අට+අනූව] <br> [නා.] අනූ අට."
"අටි ","[වි.]  කැමති; රිසි; අභිලාෂි."
"අටිය ","[නා.] අදහස; කැමැත්ත; අභිලාෂය."
"අටු ඇට"," [නා.ප්‍ර.] තම්බා අටුවේ ලා වියළා ගත් කොස් ඇට හෝ මදුළු; අටුකොස්."
"අටු කොටු ","[නා.ප්‍ර.] වී ආදිය රැස්කර තබන ධාන්‍ය ගබඩාව."
"අටු පොල්","[නා.ප්‍ර.] අටුවෙහි පරණ වූ පොල්; කොට්ට පොල්."
"අටුමැස්ස ","1. [නා.] අටුවේ වී ආදිය රැස්කර තබන මැස්ස; අටුගෙයි ලෑලි තට්ටුව. <br>2. [නා.] උදුන ඉහළින් තිබෙන මැස්ස; දුම්මැස්ස."
"අටුව ","1. [නා.] උස් ව තැනූ මැස්ස. <br>2. [නා.] සාම්ප්‍රදායික කුස්සිවල ලිපට ඉහළින් තැනූ මැස්ස. <br>3. [නා.] වී ආදි ධාන්‍ය ගබඩාව."
"අටුවන් කොළය ","(කථා.) [නා.] පුවක් අත්තෙහි මුල කොටස; පෝපත; කොළපත."
"අටුවා ","1. [නා.ප්‍ර.] ත්‍රිපිටකයට අයත් මුල් ග්‍රන්ථවල දුෂ්කර පද විස්තර කිරීම සඳහා ලියූ ග්‍රන්ථ ගණය; අර්ථකථා. <br>2. (කථා.) [නා.ප්‍ර.] විස්තර වර්ණනාව."
අටුවාචාරියා," [නා.] ත්‍රිපිටකයට අයත් වූ මුල් ග්‍රන්ථවල දුෂ්කර පද විවරණය කරමින් අටුවා ග්‍රන්ථ කළ ඇදුරා."
"අටෝරා ","[වි.]  අටතුරා."
"අටෝරාසිය ","[නා.] අටක් වැඩි සියය; එකසිය අට; අටරාසිය."
"අට්ට ගැහෙනවා ","[ක්‍රි.] වේළෙනවා; කර වෙනවා."
"අට්ටම ","[නා.] පැත්ත; අංශය; පාර්ශ්වය."
අට්ටල," [නා.] හිරිහැරය; වෙහෙස."
"අට්ටවාලය ","1. [නා.] වහලයක ආධාරක වශයෙන් ඇති කුරුපා, බාල්ක ආදියෙන් යුතු කොටස. <br>2. [නා.] වහලයක මුදුන් යටලීය හා බිත්ති යටලීය අතර කොටසෙහි යොදන යටලීය; මැද යටලීය (=purlin)."
"අට්ටාලය ","1. (පාරිභා.) [නා.] උස් කොට තැනූ මුරගෙය; හාත්පස පෙනෙන සේ උස් තැනක ඉදි කළ තාවකාලිකව තැනූ කූටිය; ආරක්ෂක කුටිය. <br>2. [නා.] (හේන් රැකීම් සතුන් දඩයම් කිරීම් ආදිය සඳහා) ගස් උඩ තැනූ පැල. <br>3. [නා.] යමක් තාවකාලිකව තැන්පත් කර තැබීමට සුදුසු මැස්ස."
"අට්ටිය ","(කථා.) [නා.] කිසියම් දෙයක් පිළිවෙළකට, පේළි හා තට්ටු වශයෙන් අසුරා සකස් කරන ගොඩ."
"අට්ඨ ","1. [නා.ප්‍ර.] අට හැඳින්වෙන සංඛ්‍යාව. <br>2. [නා.ප්‍ර.] අරුත; සංඛ්‍යාව."
"අට්ඨංග, අට්ඨංගික ","[වි.]  අවයව අටක් ඇති; අංග අටකින් යුක්ත."
"අට්ඨක ","[නා.ප්‍ර.] අටකින් සැදුණු ගොඩ; අටකින් යුත් රාශිය."
"අට්ඨ කථාව"," [නා.] ත්‍රිපිටක පාළියෙහි පද සඳහා කළ අර්ථ වර්ණනාව."
"අට්ඨ කල්ප ","1. [නා.ප්‍ර.] කල්ප අටක කාලය. <br>2. [නා.ප්‍ර.] නිරයක නාමය."
"අට්ඨාරස ","[නා.ප්‍ර.] දහ අට; අටළොස."
"අට්ඨික ","[වි.]  ශරීරයෙහි ඇට පිළිබඳ වූ."
"අට්ඨි කල්‍යාණය ","[නා.]ස්ත්‍රීන්ගේ රූපශ්‍රීය පිළිබඳ පඤ්චකල්‍යාණයෙන් එකක් වන ප්‍රභාසම්පන්න වූ දන්ත පන්තීන් ඇති බව."
"අට්ඨික සංඥාව ","[නා.] ඇටසැකිල්ලක් යන හැඟීම; ඇටසැකිල්ලක් බවට සංඥාව."
"අට්ඨිසංඛලික ","1. [නා.ප්‍ර.] ඇටසැකිලි වැනි රූ ඇති ප්‍රේත විශේෂයක්. <br>2. [නා.ප්‍ර.] ඇටසැකිල්ල; ඇට කූඩුව."
"අට්ඨුප්පත්තිය ","[නා.] (ධර්ම දේශනයක් සඳහා) කරුණක් පැන නැගීම; හේතුවක් ඉදිරිපත් වීම; අවස්ථාවක් එළඹීම."
"අඩ ","1. [නා.] දෙකට බෙදූ කොටස; භාගය; අර්ධය. <br>2. [නා.] බදු වශයෙන් ගෙවන කොටස; බද්ද; අඳය. [වි.]  භෝග සම්පත් ඇති; ආඪ්‍ය; සමෘද්ධ."
"අඩ උපෝසථය","[නා.] එක් රැයක් හෝ එක් දවාලක් රකින උපෝසථ සීලය; අර්ධ උපෝසථය."
"අඩංගම, අඩංගාව","(කථා.) [නා.] ගවයන් රැළේ වැටීම; සිවුපාවුන්ගේ මද"
අඩංගු,"[වි.] ඇතුළත්; අයිති."
"අඩ කවය","[නා.] වෘත්තාකාර ව ඇඳි රූපයකින් අර්ධය; අර්ධ වෘත්තය; කව පළුව."
"අඩ කිරිය","[නා.] කිරියකින් දෙකෙන් කොටසක හෙවත් දෙ අමුණක ධාන්‍ය වැපිරෙන බිම් ප්‍රමාණය."
"අඩකුඹු කරනවා","[ක්‍රි.] රාජ්‍යනායක අභාව ආදි අවස්ථාවලදී ශෝකය ප්‍රකාශ කිරීම පිණිස ජාතික කොඩිය අර්ධ වශයෙන් ඔසවා තබනවා; කුඹ ගසේ ඉහළට නොඔසවා එහි අඩක් උසින් ඔසවා තබනවා."
"අඩ කුරුපාව","[නා.] මුදුන් යටලීය දැරීමට බාල්ක මත සවි කරන ලද කෙටි කණුව."
"අඩ කුළුදුල, අඩ කුළුදුල්ල","1. [නා.] ද්‍රව මැනීමේ පැරණි මිම්මක්; අඩපත; පත භාගය.
<br>2. [නා.] වියළි ද්‍රව්‍ය මැනීමේ පැරණි මිම්මක්; පලම."
"අඩ කෙළ","[නා.] පනස් ලක්ෂය; කෝටි භාගය."
