"පාලි වචනය","සිංහල පරිවර්තනය"
ඤාපෙතුං,"(නි) අවබෝධ කරවන්ට; දැනුම් දෙවන්ට."
ඤාපෙත්වා,"(පූ.ක්‍රි) දන්වා; දැනුම් දෙවා."
ඤාය,"(පු) ආකාරය; න්‍යාය; පිළිවෙල; සත්‍ය මාර්ගය."
ඤාය,"(පු) යුක්තිය, විදර්‍ශනාමාර්‍ග ප්‍රඥාව, යුක්ති සඞ්ගත ක්‍රියාව, කාරණය."
"ඤායපටිපන්න ","(3) සත්‍ය මාර්ගයට බැසගත්."
ඤෙය,"(න) ඤෙයවස්තු, දතයුත්ත."
ඤෙය්‍ය,"(න) දතයුතු දෙය."
"ඤෙය්‍ය ","(3) දතයුතු."
ඤෙය්‍යධම්ම,"(පු) දතයුතු සියලු දේ."
ටඞ්ක,"(පු) ගල් පලන ආයුධයක්."
ටඞ්ග,"(පු) ගල පලන පෙනුම, ගල් කටුව, තොටිල ටඞ්කිතමඤ්ච, ගල් සතරක් මතුයෙහි ගලුලෑල්ලක් අතුරාකළ ආසනය, ගයාවේ පිහිටි සුචිරොමයාගේ වාසභවනය."
ටල,"(භු) වියාකුලෙ, ව්‍යාකුලයෙහි, ටුලති ව්‍යාකුල වෙයි."
ටි,"(භු) පක්ඛන්ධනෙ, ඉගිලීමෙහි, ටෙති, ඉගිලෙයි."
ටික,"(භු) ගතියං, යාමෙහි, අවබෝධයෙහි, ටෙකති, යෙයි දැනගනියි, ටෙක්කති."
ටීකා,"(ඉ) අන් පොතකට ලියූ වර්ණනාව; අර්ථ විවරණය."
ටීකා,"(ඉ) අර්‍ථකථාවෙහි දුෂ්කර පදයන්ගේ අර්‍ථ ප්‍රකාශකරන ග්‍රන්ථය."
ටීකාචරිය,"(පු) ටීකා සම්පාදකයා."
ටුල,"(භු) වියාකුලෙ ටුලති ව්‍යාකුලවෙයි."
ටෙක,"(භු) ගතියං, යෑමෙහි, ටෙකති යෙයි."
ඨත්වා,"(පූ.ක්‍රි) සිට."
ඨප,"(චු) ඨපනෙ, තැබීමෙහි, ඨපෙති, ඨපයති, තබයි."
ඨපන,"(න) තැන්පත් කිරීම; තැබීම; පිහිටු වීම."
ඨපන,"(න) තැබීම, පිහිටුවීම."
ඨපනා,"(ඉ) තැන්පත් කිරීම; තැබීම; පිහිටු වීම."
ඨපාපෙති,තබ්බවයි.
ඨපිත,"(ති) තබන ලද, පිහිටුවන ලද."
"ඨපිත ","(3) තැන්පත් කළ; තැබූ; නියමකළ; පිහිටෙව්."
"ඨපෙතබ්බ ","(3) තැබිය යුතු."
ඨපෙති,"(ක්‍රි) ඨප - (d) (භු) ඨපනෙ, තැබීමෙහි, (ඨප + ණෙ + ති) තබයි."
ඨපෙති,"(ඨා+ණාපෙ) තබයි; තැන්පත් කරයි; පිහිටුවයි."
ඨපෙතුං,"(නි) තබන්ට."
ඨපෙත්වා,"(පූ.ක්‍රි) තබා; හැර."
"ඨපෙන්ත ","(3) තබන; තබමින්."
ඨා,"(දි) ගතිනිවුත්තියං, ගමන් වැලකීමෙහි, ඨායති, නවතියි, සිටී."
ඨා,"(භු) ගතිනිවුත්තියං, ගමන් නැවැත්මෙහි, ඨාති, තිට්ඨති, සිටියි, නවතියි."
ඨාන,"(න) ඓශ්චර්‍ය්‍යය, හේතුව, අවකාශ ස්ථිති."
ඨාන,"(න) කාරණය; තනතුර; තැන; නැවතීම; පිහිටීම; ස්ථානය; සිටීම; හේතුව."
ඨානසො,"(නි) ස්ථාන වශයෙන්; හෙතු වශයෙන්."
ඨානීය,"(න) අගනුවර."
ඨානීය,"(න) නුවර, නගරය."
"ඨාපක ","(3) තබන; තබන්නා."
ඨාපන,"(න) තැබීම, පිහිටුවීම."
"ඨායි ","(3) සිටින්නා."
ඨායිත,"(පු) ජීවිකාව පහසුවෙන් කරන තැනැත්තා."
ඨායී,"(පු) සිටිනසුලු තැනැත්තා, සිටින ස්වභාව ඇත්තා."
ඨිත,"(ති) සිටින ලද, සිටි, පිහිටි."
"ඨිත ","(3) නැවතුණු; සිටි."
ඨිතක,"(පු) සිටිතැනැත්තා, නොනැමී කෙලින් සිටි තැනැත්තා."
"ඨිතක ","(3) නැගිට සිටින්නා."
ඨිතට්ඨාන,"(න) සිටි තැන."
ඨිතත්ත,"(න) සිටිබව."
"ඨිතත්ත ","(3) තැන්පත් වූ සිතැති."
ඨිතසීලී,"(පු) සිටීම ස්වභාව කොට ඇති."
ඨිති,"(ඉ) නැවතීම; නිශ්චල බව; පිහිටීම; සිටීම."
ඨිති,"(ඉ) සිටීම, පැවැත්ම, ජීවිතය."
ඨිතික,"(පු) සිටින්නා, පවතින්නා."
"ඨිතික ","(3) පවත්නා."
ඨිතිකා,"(ඉ) නම් ලැයිස්තුව කියවා තුණ්ඩු දී නැවත් වූ තැන."
"ඨිතිභාගිය ","(3) අඩු වැඩි නොවී පවත්නා ස්වභාවයට පත්."
ඨුහ,"(භු) නිට්ඨුභනෙ, කාරා දැමීමෙහි, නිට්ඨුභති, කාරා දමයි."
ඨෙ,"(භු) වෙඨනෙ, වෙලීමෙහි, ඨාති, ඨායති, වෙළයි."
ඩංක,"(පු) ඇට ලේ මැස්සා, මංස."
ඩඞ්ක,"(පු) කවුඩා."
ඩප,"(භු) (චු) සඞ්ඝාතෙ, රැස්වීමෙහි, ඩපති = ඩාපෙති ඩාපයති, රැස්වෙයි."
ඩපි,"(භු) සාඞ්ඝතෙ, රැස් කිරීමෙහි ඩම්පති, රැස් කරයි."
ඩය්හති,"(දහ+ය) දවනු ලැබේ; දැවේ."
"ඩය්හන්ත ","(3) දැවෙන; දැවෙමින්."
ඩය්හමාන,"(පු) දවනු ලබන, පුලුස්සනු ලබන."
"ඩය්හමාන ","(3) දැවෙන; දැවෙමින්."
ඩංස,"(පු) ඇටමැස්සා."
ඩංස,"(පු) ඩැහැ ලේ බොන මැස්සා, ඇටමැස්සා."
ඩංස,"(භු) ඩංසනෙ, දෂ්ට කිරීමෙහි, ඩංසති, දෂ්ට කරයි."
ඩසති,"(ක්‍රි) (ඩංස - (d) (භු) ඩංසනෙ, දෂ්ට කිරීමෙහි + ති) දෂ්ට කරයි."
ඩසති,"(ඩංස+අ) දෂ්ට කරයි; හපයි; හපාකයි."
ඩසන,"(න) ඩැසීම, හපා කෑම දෂ්ට කිරීම."
ඩසන,"(න) දෂ්ට කිරීම; හපා කෑම."
ඩහත,"(න) ඩැහීම, දෂ්ට කිරීම."
ඩහති,"(ක්‍රි) (දහ + - (d) (භු) භස්මීකරණ, හළු කිරීමෙහි + ති) දවයි, අලුකෙරෙයි."
ඩහති,"(දහ+අ) දවයි; පුලුස්සයි."
"ඩහන්ත ","(3) දවන; දවමින්."
ඩහිතුං,"(නි) දවන්ට."
ඩහිත්වා,"(පූ.ක්‍රි) දවා."
ඩාක,"(පු) (න) පලා කොළ."
ඩාක,"(පු) පලා කෑමට ගන්නා කොලවර්‍ග."
ඩාහ,"(පු) උෂ්ණය; දැවිල්ල; පිලිස්සීම."
ඩි,"(භු) වෙහාස ගමනෙ, අහසින් යාමෙහි, ඩෙති, ඉගිලෙයි, අහසින් යයි."
ඩිප,"(චු) සංඝාතෙ, රැස්කිරීමෙ, ඩෙපෙති, ඩෙපයති, රැස්කරයි."
ඩිප,"(භු) ඛෙප, දැවීමෙහි, ඩොපෙති, දවයි"
ඩී,"(දි) ගමනෙ, යාමෙහි, ඩීයති, යෙයි."
ඩී,"(භු) ආකාස ගමනෙ, අහසින් යාමෙහි, ඩෙති, ඩයති, ඉගිලෙයි, අහසින් යෙයි."
ඩී,"(භු) ඛෙපෙ, උඩගමනෙ, දැවීමෙහි, උඩ යාමෙහි, ඩෙති - උඩ්ඩෙති, දවයි, ඉගිලෙයි,"
ඩීයන,"(න) පියෑඹීම."
ඩු,"(භු) උච්චෙ, උසස් කිරීමෙහි, ඩුණ්ණති, උසස් කරයි."
ඩෙති,"(ක්‍රි) ඩි - (d) (භු) වෙහාස ගමනෙ, අහස් ගමනෙ + - (ති) ඉගිලෙයි."
ඩෙති,"(ඩී+අ) පියාසර කෙරේ."
තං,එය.
"ත ","(3) ඒ; හේ."
"තං ඛණං","(ක්‍රි.වි) එකෙණෙහි."
තක,"(භු) හසනෙ, සිනාවෙහි, තකති, සිනාසෙයි."
තකි,"(චු) බන්ධනෙ, බැඳීමෙහි, තඞ්කෙති, තඞ්කයති, බඳියි."
තකි,"(භු) දුක්ඛ ජීවනෙ, දුඃඛ ජීවිකාවෙහි, තඞ්කති, දුකින් ජීවත් වෙයි."
තකි,"(භු) යාමෙහි, ඉවසීමෙහි, සිනාවෙහි, දුකසේ ජීවත් වීමෙහි, තඞ්කති, ආතඞ්කති, ආතඞ්කෙපති, දුකසේ ජීවත් වෙයි."
තක්ක,"(චු) විතර්‍කයෙහි, තක්කෙති, තර්‍කයණ කරයි, විතක්කෙති."
තක්ක,"(න) කිරිමෝරු."
තක්ක,"(පු) තර්කය; සිතිවිල්ල."
තක්ක,"(පු) විතර්‍කය, මෝරු, සොරා."
තක්කන,"(න) තර්‍කණය, සංකල්පය,"
තක්කන,"(න) සිතා බැල‍ීම."
තක්කර,"(පු) සොර, එය කරන්නා."
"තක්කර ","(3) එය කරන්නා; (පු) සොරා."
තක්කසිලා,"(ඉ) තක්සලා නුවර."
තක්කසිලා,"(ඉ) තක්සලා නුවර."
තක්කාරි,"(ඉ) තිටිඟ."
තක්කාල,"(න) ඒ කාලය, එම කාලය."
තක්කික,"(පු) තාර්කිකයා, තර්‍ක කරන්නා."
"තක්කික ","(3) තර්ක කරන්නා; තර්ක ශාස්ත්‍රය දන්නා."
තක්කී,"(ඉ) තර්ක කරන්නා."
තක්කී,"(පු) තර්‍කකරන්නා, තර්‍කශාස්ත්‍රඥයා."
තක්කෙති,"(ක්‍රි) තක්ක - (d) (භු) තක්කනෙ, තර්‍ක කිරීමෙහි + ණෙ + ති) තර්‍කකරයි."
තක්කෙති,"(තක්ක+ණෙ) තර්ක කරයි; සිතා බලයි."
තක්කොල,"(න) තකුල් නම් සුවඳ වර්ගය."
තක්කොල,"(න) තකුල්."
තක්ඛ,"(භු) සංවරණෙ, සංවරයෙහි, තක්ඛති, සංවරණය කරයි."
තග,"(භු) සංවරෙ, වැසීමෙහි තගති, වසයි, අවුරයි."
තගර,"(න) තුවරලා නම් සුවඳැති පැලෑටිය."
තගි,"(භු) ගමනෙ, ගමනයෙහි, තඞ්ගති, යෙයි."
තග්ගරුක,"(ති) එය ගරුකරන්නා, එය ගරු වශයෙන් සලකන්නා."
"තග්ගරුක ","(3) එයට නැමී පවත්නා."
තග්ඝ,"(අ) ඒකාන්තයෙහි, එබැවින්."
තග්ඝ,"(නි) එසේ නම්; ඒකාන්තයෙන්."
තග්ඝ,"(භු) පාලනෙ, පාලනයෙහි, තග්ඝති, පාලනය කරයි."
තච,"(පු) චර්‍මය, සම, සුඹුල්."
තච,"(පු) පතුර; පොත්ත; ලෙල්ල; සම."
තච,"(භු) සංවරණයෙහි, තචති, රකියි තචො"
තචගන්ධ,"(පු) පොතුවලින් ලැබෙන සුවඳ."
තචපඤ්චක,"(න) සම පස්වෙනි කොට ඇති ශාරීරික කොටස්."
"තචපරියොසාන ","(3) සම කෙළවරකොට ඇති."
තචසාර,"(පු) හුණගස."
තච්චරිත,"(ති) එසේ හැසිරෙන ලද, එසේ හැසුරුණු."
තච්ඡ,"(න) සැබෑතෙපුල, සත්‍යවචනය."
තච්ඡ,"(භු) තනුකරණෙ, තුනී කිරීමෙහි, තච්ඡති, තුනී කරයි, සසියි."
"තච්ඡ ","(3) සත්‍ය වූ."
තච්ඡක,"(පු) ලී සහින්නා; වඩුවා."
තච්ඡක,"(පු) වඩුවා, සසින්නා."
තච්ඡති,"(ක්‍රි) (තච්ඡී - (d) (භු) තනු කරණෙ, තුනී කිරීමෙහි + ති) සසියි."
තච්ඡති,"(තච්ඡ+අ) තුනී කරයි; සසියි."
තච්ඡන,"(න) ලී සැසීම."
තච්ඡන,"(න) සැසීම, තුනී කිරීම."
තච්ඡනී,"(ඉ) වෑය, සසිනා ආයුධය."
තච්ඡනී,"(ඉ) වෑය."
තච්ඡිත,"(ති) සසිනලද, සැස - (පු)"
"තච්ඡිත ","(3) තුනී කළ; සසින ලද."
තච්ඡිතුං,"(නි) අහින්ට (සහින්ට)."
තච්ඡෙති,"(තච්ඡ+ණෙ) ලී අහියි; සසියි."
තච්ඡෙත්වා,"(පූ.ක්‍රි) ඇහැලා."
"තච්ඡෙන්ත ","(3) අහිමින්; සසින; සසිමින්."
තජ්ජ,"(චු) තජ්ජනෙ, තර්ජනයෙහි, තජ්ජෙති තැතිගන්වයි."
තජ්ජ,"(භු) භස්සනෙ, අපකාර වචනයෙහි, තජ්ජනී, තර්ජනය කරයි."
"තජ්ජ ","(3) එයින් හටගත්."
තජ්ජන,"(න) තර්ජනය, තැති ගැන්වීම."
තජ්ජනා,"(ඉ) තර්ජනය; මේ මේ දඬුවම් කරන්නෙමියි කීම."
"තජ්ජනිය ","(3) තර්ජනය කළ යුතු."
තජ්ජනියකම්ම,"(න) භික්ෂූන් පිළිබඳ විනය කර්‍මයක්."
තජ්ජනී,"(ඉ) තර්ජනීය, දබර ඇඟිල්ල."
"තජ්ජනී ","(3) මහපට ඇඟිල්ලට දෙවෙනි ඇඟිල්ල."
තජ්ජාරි,"(ඉ) අනුප්‍රමාණ සතිසක්, අනුබලනු."
තජ්ජිත,"(ති) තැති ගන්වනලද, තැතිගත්."
"තජ්ජිත ","(3) තර්ජනය ලැබූ; තැතිගත්; භයට පත්."
තජ්ජෙති,"(ක්‍රි) (තජ්ජ - (d) (චු) තජ්ජනෙ, තර්ජනයෙහි + ණෙ + ති) තර්ජනය කරයි."
තජ්ජෙති,"(තජ්ජ+ණෙ) තර්ජනය කරයි; තැති ගන්වයි."
තජ්ජෙත්වා,"(පූ.ක්‍රි) තර්ජන කොට."
"තජ්ජෙන්ත ","(3) තර්ජන කරන."
තඤ්චු,"(භු) ගතියං, ගමනෙහි, තඤ්චතියෙයි."
තට,"(ති) ඉවුර, ගංගා ආදියෙහි ඉවුර."
තට,"(පු) පර්‍වත ප්‍රන්ත; ප්‍රපාතය."
තට,"(භු) උස්සයෙ උසස් ගතියෙහි, තටති උස්වෙයි."
"තට ","(3) ඉවුර; (පු) පර්වතයේ ප්‍රපාතය."
තටතටායති,"තට තට යන ශබ්දය පවත්වයි."
තට්ට,"(භු) ඡෙදනෙ, සිඳීමෙහි, තට්ටති, සිඳියි."
තට්ටක,"(න) තටුව; තැටිය; පැතලි භාජනය."
තට්ටක,"(පු) ආහාර අල්ලන තැටිය, පැතැලි පාත්‍රය,"
තට්ටිකා,"(ඉ) කුඩා පැදුර; පත්කඩ; බන්දේසිය."
තඩි,"(චු) තාඩනෙ, තැළීමෙහි, තණ්ඩෙති, තණ්ඩයති, තළයි."
තඩි,"(භු) තාළනෙ, තැළීමෙහි, තණඩති, විතණ්ඩති, තළයි."
තණහක්ඛය,"(පු) තෘෂ්ණක්ෂය, නිවන."
තණ්ඩුල,"(න) සහල්."
තණ්ඩුල,"(න) සාල්, සහල්, වළඟසාල්."
තණ්ඩුලීය,"(පු) සුලුකූර."
තණ්ඩුලෙය්‍ය,"(පු) සුලුකූර."
තණ්ඩුලෙය්‍ය,"(පු) සුළු කූර ගස."
තණ්හක්ඛය,"(පු) තෘෂ්ණාව ක්ෂයකිරීම."
තණ්හා,"(ඉ) ආශාව; තෘෂ්ණාව; පිපාසාව; ලෝභය."
තණ්හා,"(ඉ) තෘෂ්ණාව, පිපාසය, එනම් මාරදුව."
තණ්හාක්ඛය,"(පු) තෘෂ්ණාව ක්ෂයකිරීම."
තණ්හාජාල,"(න) තෘෂ්ණා නැමැති අවුල."
"තණ්හාදුතිය ","(3) තෘෂ්ණාව මිත්‍රයා කොට ඇති."
"තණ්හාපච්චය ","(3) තෘෂ්ණාවෙන් හටගත්."
තණ්හාවිචරිත,"(න) තෘෂ්ණා සහගත සිතිවිල්ල."
තණ්හාසංඛය,"(පු) තෘෂ්ණාව නැසීම."
තණ්හාසංයොජන,"(න) තෘෂ්ණා නැමැති බැම්ම."
තණ්හාසල්ල,"(න) තෘෂ්ණා නැමැති හුල."
තණ්හ‍ීයති,"ආශා කරයි."
තණ්හීයති,"තෘෂ්ණා උපදවයි."
තත,"(ති) පලල, පතළ."
"තත ","(3) දිග හැරි; පතුරුවන ලද."
තතිය,"(ති) තුන්වැනි, තෙවැනි,"
තතියං,"(ක්‍රි.වි) තුන්වෙනිව."
"තතිය ","(3) තෙවෙනි."
"තතියක ","(3) තුන්වෙනි කොට ඇති."
තතියත්ථ,"(පු) තෘතීයා අර්‍ථය."
තතියා,"(ඉ) තෘතීය විභක්තිය."
තතියා,"(ඉ) තෘතීය, තුන්වැනි, තියවක, තුන්වන, විත්වත, තෘතියාව."
තතො,"(අ) හෙත්වර්‍ථයෙහි, එහෙයින්."
තතො,"(නි) ඉක්බිති; එතැන් සිට; එතැනින්; එහෙයින්."
"තතො පට්ඨාය","එතැන් පටන්."
තතොනිදානං,"(ක්‍රි.වි) එය හේතුකොට; ඒ හේතුවෙන්."
තතොපට්ඨාය,"(නි) එතැන් පටන්."
තතොපරං,"(නි) ඉන් පසු."
තතොරපං,"(අ) එයින් මතු, එයින් මත්තෙහි."
තත්ත,"(ති) රත්වූ, තප්ත, තවන ලද, තැවුනු."
තත්ත,"(න) ඇති සැටිය; තත්වය."
"තත්ත ","(3) උණුසුම; රත් කළ; රත් වූ."
තත්තක,"(ති) එපමණ, එතෙක්."
"තත්තක ","(3) එපමණ."
තත්තතො,"(නි) සත්‍ය වශයෙන්."
තත්තභාණ්ඩ,"පිලි විවීමට උවමනා බඩු."
තත්ථ,"(අ) එහි."
තත්ථ,"(නි) එතැන; එහි."
තත්‍ර,"(අ) එහි."
තත්‍ර,"(නි) එතැන; එහි."
තථ,"(ති) ස්වභාවය, ස්ථිර, සත්‍ය, තථා ස්වභාවය."
තථ,"(න) සත්‍යය."
"තථ ","(3) සත්‍ය වූ."
තථතා,"(ඉ) තථභාවය."
තථතා,"(ඉ) සත්‍ය බව."
තථත්ත,"(න) එබඳු බව."
තථරිව,"(අ) උපමායෙහි, එසේ."
"තථවචන ","(3) සත්‍ය වචන ඇති."
තථා,"(අ) උපාමායෙහි, එසේ."
තථා,"(නි) ඒ ආකාරයෙන්; ඒසේ."
"තථාකාරී ","(3) එසේ කරන්නා."
තථාගත,"(පු) බුදුරජානන් වහන්සේ, සත්වයා."
"තථාගත ","(3) බුදුරද."
තථාගතබල,"(න) බුදුරදුන්ගේ ඥානබලය."
තථාගතසාවක,"(පු) බුද්ධ ශ්‍රාවකයා."
තථාභාව,"(පු) එසේ බව."
තථාරූප,"(ති) එබඳු, එයාකාර."
"තථාරූප ","(3) එබඳු; එවැනි."
තථූපම,"(ස) ඊට සමාන වූ."
තථෙව,"(අ) උපමායෙහි, එසේ."
තථෙව,"(නි) එසේම."
තදග්ගෙ,"(ක්‍රි.වි) එතැන් පටන්."
"තදඞ්ග ","(3) තාවකාලික; (පු) ඒ කොටස."
තදඞ්ගප්පහාන,"(න) තදඞ්ග විමුක්තිය."
තදඞ්ගවිමුත්ති,"(ඉ) යම් යම් කුසලාඞ්ගයකින් යම් යම් අකුසලාඞ්ගයක් ප්‍රහීණ කෙරේ එය තදඞ්ග විමුක්තියයි තදඞ්ගප්‍රහාණය."
තදත්ථං,"(ක්‍රි.වි) ඒ සඳහා."
තදත්ථයොජනා,(ඉ)
තදධිමුත්ත,"(ති) එයින් මිදුනු, එයින් මිදේ."
තදනුත්තර,"(න) ඒ උතුම්කොට ඇති."
තදනුරූප,"(න) ඊට සුදුසු, ඊට ගැලපෙන, තදනුකූල."
"තදනුරූප ","(3) ඊට යෝග්‍ය වූ; එයට ගැළපෙන."
තදවසරි,"එතනට පැමිණියේය."
තදහ,"(න) එදින."
තදහු,"(න) එදින."
තදහුපොසථෙ,"(ක්‍රි.වි) පෝය ඇති ඒ දිනයෙහි."
තදා,"(අ) ඒ කාලයෙහි, එසමයෙහි, ඒවිට."
තදා,"(නි) එකල්හි; එදා; එදින."
තදාත්ත,"(න) එකල."
තදානි,"(අ) එකල, එසමයෙහි."
තදානි,"(නි) එකල්හි; එදා; එදින."
තදි,"(භු) ආලසියේ, මැලවීමෙහි, තන්දති, මැලිවෙයි."
තදි,"(රු) හිංසායං, පීඩාවෙහි, තන්දති, පෙළයි."
"තදුපිය ","(3) ඊට ප්‍රමාණ වූ."
"තදුපෙත ","(3) එයින් යුක්ත වූ."
තදූපාදාය,"එතැන් පටන්."
තදූපික,"(අ) මේවගේ."
තදූපිය,"(අ) එවැනි."
තදූපෙත,"(පු) එයින් යුක්ත, ඒ හා යෙදුනු."
තනය,"(පු) පුත්‍රයා, පුතා."
තනය,"(පු) පුත්‍රයා."
තනයා,"(ඉ) දුව."
තනු,"(d) ත) විත්ථාරෙ, පැතිරීමෙහි, තනොති, පතුරුවයි."
තනු,"(ඉ) ධර්‍ම, සම, සරීරය."
තනු,"(ති) අල්පාර්‍ථ, තුනී, සිහින්, හීන්දෑරි."
"තනු ","(3) කෘශ වූ; තුනී වූ; (ඉ) ශරීරය."
තනුක,"(ති) තුනී, නොපටු."
"තනුක ","(3) කෘශ වූ; තුනී වූ."
තනුකත,"(පු) තුනීකළ, සස්නාලද."
"තනුකත ","(3) තුනී කළ."
තනුකරණ,"(න) තුනී කිරීම."
තනුජ,"(පු) පුත්‍රයා, පුතා."
"තනුතර ","(3) වඩා තුනී වූ."
තනුතා,"(ඉ) තුනී බව."
තනුත්ත,"(න) තුනී බව."
තනුභාව,"(පු) තුනී බව."
තනුය,"(පු) තනුජ, පුත්‍රයා."
තනුය,"(පු) පුත්‍රයා, පුතා."
තනුරුහ,"(න) ලොම් ගස."
තනුරුහ,"(පු) රොම, මයිල්."
තනොති,"(ක්‍රි) පතුරුවයි, තනුබලනු."
තනොති,"(තනු+ඔ) පතුරුවයි."
තන්ත,"(න) නූල; වීණාවේ තත."
තන්තවාය,"(පු) රෙදි වියන්නා."
"තන්තාකුලජාත ","(3) නූල් ගුලියක් මෙන් අවුල් වූ."
තන්ති,"(ඉ) පෙළ; පේළිය; බුද්ධ වචනය; වීණා තත."
තන්ති,"(ති) වීණාව, වීණතත."
"තන්තිධර ","(3) ත්‍රිපිටකය හෝ ඉන් කොටසක් දරන්නා."
තන්තිස්සර,"(පු) වීණා හඬ."
තන්තු,"(පු) කෙන්ද; නූල."
තන්තු,"(පු) හුය, නූල."
තන්තුභ,(පු)
තන්දි,"(ඉ) අලස බව; නිදිමත."
තන්දි,"(ඉ) ප්‍රමාදය."
තන්දි,"(ති) නිද්‍රාව, ප්‍රමාදය, මැලිය, තෙමරිය."
"තන්දිත ","(3) අලස වූ; වෙහෙසට පත්."
තන්නවාය,"(පු) පිළිවියන්නා, පෙසකාරයා, පෙහරා."
තන්නින්න,"(ති) ඊට නැමුණු, ඊට අවනත."
තප,"(චු) ඛයෙ, ක්ෂයවීමෙහි, තපෙති, තපයති, ක්ෂයවෙයි."
තප,"(චු) දාහෙ, දාහයෙහි, තපෙති තපයති, තැවෙයි."
තප,"(චු) පිනනෙ, පිනවීමෙහි, තපෙති, තපයති, පිනවයි."
තප,"(දි) සන්තාපපීනනෙ, තැවීමෙහි, පිනවීමෙහි, තප්පති සන්තප්පති, තැවෙයි, පිනවයි."
තප,"(පු) (න) තපස; තැවීම; ශීලය."
තප,"(පු) තැවීම, වාතය, ධර්‍මය."
තප,"(භු) දිත්තියං තපති, තැවෙයි, දිලිසෙයි."
තපති,"(ක්‍රි) (තප - (d) (දි) සන්තාපෙ, තැවීමෙහි, x ති) තැවෙයි,"
තපති,"(තප+අ) ආලෝකය පතුරුවයි; බබළයි."
තපන,"(න) උෂ්ණය; තැවීම; බැබළීම."
තපන,"(න) තාපය, සූර්‍ය්‍යයා, තැවීම කරන."
තපනීය,"(න) රත් රන්."
තපනීය,"(න) රත්රන්, තැවීම කරන."
"තපනීය ","(3) පසුතැවිලි උපදවන."
"තපන්ත ","(3) බබළන."
"තපමාන ","(3) බබළන."
තපස්සිනී,"(ඉ) තාපසිය."
තපස්සී,"(පු) තපස් ඇත්තා, අනුකම්පාකටයුතු දුක්ඛිතයා, ශුමණය, තවුසා."
"තපස්සී ","(3) තපස් ඇත්තා; (පු) තාපසයා."
තපු,"(භු) උබ්බෙගෙ, තලකිරීමෙහි, බියවීමෙහි."
තපොකම්ම,"(න) තපස් රැකීම; සිල් රැකීම."
තපොධන,"(පු) තාපසයා."
තපොවන,"(න) තපස ධනකොට ඇත්තා, තාපසයා, පැවිද්දා."
තපොවන,"(න) තාපසාරාමය."
තප්ප,"(චු) සංතප්පනෙ, සංතපෙණයෙහි, සැතැප්පවීමෙහි සන්තප්පෙති, සන්තප්පයති, සංතර්පණයකරයි, සතප්පවයි, තෘප්තියට පමුණුවයි."
තප්ප,"(භු) සන්තප්පනෙ, තැවීමෙහි, තප්පති, සන්තප්පති, තැවෙයි, වියලෙයි."
තප්පණ,"(න) සන්තර්පණය; සෑහීමට පත් කිරීම."
තප්පති,"(ක්‍රි) තැවෙයි, තප, තප්පබලනු."
තප්පති,"(තප+ය) තැවේ; පසු තැවේ; රත් වේ."
තප්පන,"(න) තෘප්තිය, පිනවීම."
තප්පබ්හාර,"(පු) ඊට අභිමුඛකය ඇති, ඊට අවනත."
තප්පර,"(පු) තප්පර, එහි ඇලුණු."
"තප්පර ","(3) එහිම යෙදුණු."
"තප්පිත ","(3) තෘප්තියට පැමිණ වූ."
තප්පිය,"(පූ.ක්‍රි) තර්පණය කොට; තෘප්තියට පමුණුවා."
"තප්පිය ","(3) තෘප්තියට පැමිණවිය හැකි."
තප්පෙති,"(තප+ණෙ) තෘප්තියට පමුණුවයි; සන්තර්පණය කරයි."
තප්පෙතු,"(පු) තෘප්තියට පමුණුවන්නා."
තප්පෙත්වා,"(පූ.ක්‍රි) තෘප්තියට පමුණුවා."
තප්පොණ,"(පු) ඊට නැමුණුකය ඇති, දිසාවට නැමුණු."
තඵ,"(භු) තිත්තියං, තෘප්තියෙහි, තඵති, තෘප්තියට පැමිණෙයි."
තඵති,"(ක්‍රි) (තඵ, - (d) (භු) තිත්තියං තෘප්තියෙහි x ති) තෘප්තියට යයි."
"තබ්බහුල ","(3) එය අධික කොට ඇති."
"තබ්බිපක්ඛ ","(3) ඊට විරුද්ධ වූ."
"තබ්බිපරිත ","(3) එයට වෙනස් වූ."
"තබ්බිසය ","(3) එය ගොදුරු කොට ඇති."
තබ්භාව,"(පු) ඒ බව; ස්වකීය ප්‍රකෘත්තිය."
තබ්භාව,"(පු) තද්භාවය, ඒ වීම,"
තම,"(චු) භූසනෙ, සැරසීමෙහි ගිලන් බැව්හි, තමෙති තමයති, අලඞ්කාරවෙයි."
තම,"(පු) - (න) අඥාන, අන්ධකාර, තාමස ගුණය, රාහු."
තම,"(පු) (න) අන්ධකාරය; අවිද්‍යාව."
තම,"(භු) සාන්තවාදියෙ, සැනසීමෙහි, පසු බැසීමෙහි, තමති, සැනසෙයි, පසුබසී."
"තමපරායණ ","(3) අඳුරෙහි ගැලී සිටින."
තමස්සිනී,"(ඉ) රාත්‍රිය."
තමාල,"(පු) තමලු ගස."
තමාල,"(පු) තමලුගස."
තමී,"(ඉ) රාත්‍රිය."
තමුස්සන්තා,"(ඉ) අන්ධකාර බහුල රාත්‍රිය."
තමොක්ඛන්ධ,"(පු) ඝනාන්ධකාරය."
"තමොනද්ධ ","(3) අන්ධකාරයෙන් වෙළී ගිය."
"ත‍මොනුද ","(3) අඳුර දුරු කරන."
"තමොපරායණ ","(3) අඳුරෙහි ගැලී සිටින."
